,date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,name,uf
11320152,1961-02-25 00:00:00,82825,,23.8,23.3,34.2,,96.0,997.0,,36.0,2.0,8.4,9.0,1.1,81.75,1.0,Porto Velho,RO
11320153,1961-02-25 12:00:00,82825,3.9,24.0,23.0,,21.0,91.0,999.5,,5.0,1.0,,9.0,,,,Porto Velho,RO
11320154,1961-02-25 18:00:00,82825,,32.2,26.1,,,60.0,997.6,,5.0,1.0,,8.0,,,,Porto Velho,RO
11320155,1961-02-26 00:00:00,82825,,26.4,24.9,33.2,,88.0,996.2,,5.0,1.0,6.5,4.0,2.5,84.5,0.666667,Porto Velho,RO
11320156,1961-02-26 12:00:00,82825,3.0,24.4,23.4,,20.9,92.0,999.9,,36.0,1.0,,10.0,,,,Porto Velho,RO
11320157,1961-02-26 18:00:00,82825,,30.6,26.6,,,72.0,998.3,,36.0,1.0,,9.0,,,,Porto Velho,RO
11320158,1961-02-27 00:00:00,82825,,26.6,25.0,32.8,,87.0,997.9,,0.0,0.0,7.3,4.0,2.4,86.0,2.0,Porto Velho,RO
11320159,1961-02-27 12:00:00,82825,0.0,24.0,23.2,,21.2,93.0,1001.8,,5.0,1.0,,9.0,,,,Porto Velho,RO
11320160,1961-02-27 18:00:00,82825,,31.1,26.3,,,67.0,999.1,,5.0,3.0,,10.0,,,,Porto Velho,RO
11320161,1961-02-28 00:00:00,82825,,25.4,24.2,31.8,,92.0,999.6,,18.0,2.0,3.5,10.0,1.5,88.25,1.333333,Porto Velho,RO
11320162,1961-02-28 12:00:00,82825,4.6,23.8,23.5,,21.4,98.0,1002.7,,5.0,3.0,,10.0,,,,Porto Velho,RO
11320163,1961-02-28 18:00:00,82825,,28.6,25.3,,,75.0,1000.2,,23.0,1.0,,10.0,,,,Porto Velho,RO
11320164,1961-03-01 00:00:00,82825,,26.6,25.4,32.4,,90.0,999.6,,0.0,0.0,5.7,4.0,1.6,84.25,1.666667,Porto Velho,RO
11320165,1961-03-01 12:00:00,82825,0.3,25.6,24.5,,20.0,91.0,1001.4,,9.0,1.0,,9.0,,,,Porto Velho,RO
11320166,1961-03-01 18:00:00,82825,,32.2,26.8,,,64.0,999.9,,23.0,1.0,,9.0,,,,Porto Velho,RO
11320167,1961-03-02 00:00:00,82825,,25.4,24.2,33.4,,91.0,997.1,,18.0,3.0,5.1,10.0,2.6,86.0,1.0,Porto Velho,RO
11320168,1961-03-02 12:00:00,82825,13.0,23.0,22.5,,21.8,96.0,1001.1,,32.0,1.0,,10.0,,,,Porto Velho,RO
11320169,1961-03-02 18:00:00,82825,,29.6,25.5,,,70.0,997.5,,32.0,1.0,,9.0,,,,Porto Velho,RO
11320170,1961-03-03 00:00:00,82825,,26.2,24.8,34.1,,89.0,996.8,,5.0,1.0,4.0,10.0,1.2,84.0,0.666667,Porto Velho,RO
11320171,1961-03-03 12:00:00,82825,1.3,25.9,24.0,,22.1,85.0,999.9,,0.0,0.0,,10.0,,,,Porto Velho,RO
11320172,1961-03-03 18:00:00,82825,,29.2,25.8,,,75.0,997.2,,14.0,1.0,,9.0,,,,Porto Velho,RO
